run_id,condition_index,repetition,seed,party_adaptation,base_pressure,mean_margin,control_change_rate,party_gap,blue_position,red_position,turnout_rate
93,9,3,6109712612164009920,0.1,1.0,3.4909473230672114,35.35353535353536,0.4304361408186317,-0.22541010297179154,0.20502603784684018,62.6
94,9,4,2028058598902513421,0.1,1.0,3.0627905346746616,49.494949494949495,0.39194157392053874,-0.18863726057633504,0.2033043133442037,61.8
95,9,5,18070655103028779026,0.1,1.0,3.0137558468879138,44.44444444444444,0.3919403885827698,-0.19191876700081975,0.20002162158195005,65.8
96,9,6,17296021371035898062,0.1,1.0,3.3662082633709667,52.525252525252526,0.4309319902697261,-0.2308528910701988,0.20007909919952732,66.2
97,9,7,12833603396820638724,0.1,1.0,2.5498736854997928,51.515151515151516,0.4052774125262947,-0.18767903931732782,0.21759837320896686,66.8
98,9,8,6325309183120637838,0.1,1.0,3.341829276055404,48.484848484848484,0.4090326101942473,-0.22701383628454103,0.18201877390970625,62.6
99,9,9,15821691148133065416,0.1,1.0,2.532451123801768,54.54545454545455,0.41047217932359276,-0.20875780184903678,0.20171437747455598,65.6
100,10,0,11461019204192818692,0.2,0.0,3.6084198892978043,44.44444444444444,0.25292019470801774,-0.09795794207879295,0.15496225262922478,59.0
101,10,1,18002059165070399312,0.2,0.0,2.8218499119866305,44.44444444444444,0.3219007263935104,-0.14369290330334045,0.17820782309017,66.8
102,10,2,12142876964362080882,0.2,0.0,3.334362231316113,45.45454545454545,0.25522763539818016,-0.15868004367770105,0.09654759172047908,64.4
103,10,3,2461935129382136199,0.2,0.0,2.971687254774588,58.58585858585859,0.31373156835123783,-0.19120473638221663,0.1225268319690212,62.2
104,10,4,10808887917043121414,0.2,0.0,4.306603758793768,30.303030303030305,0.3479038218527592,-0.13333002402526378,0.21457379782749542,61.6
105,10,5,18149300661389745951,0.2,0.0,3.437868848794386,58.58585858585859,0.20003593805419356,-0.15956435237750857,0.04047158567668499,65.8
106,10,6,15772927629628026002,0.2,0.0,3.787502984041049,46.464646464646464,0.3186633373288398,-0.1923083347334814,0.1263550025953584,63.2
107,10,7,4770103864057803179,0.2,0.0,4.089786634130454,44.44444444444444,0.326810330429123,-0.14055052680968738,0.18625980361943562,60.6
108,10,8,12761585724372939981,0.2,0.0,2.721980804049383,46.464646464646464,0.2809179604609007,-0.13150761759020563,0.14941034287069505,62.2
109,10,9,3766445265493253168,0.2,0.0,3.093949479066847,47.474747474747474,0.3093091547220298,-0.10776733696107196,0.2015418177609578,64.2
110,11,0,9356439332153192948,0.2,0.25,3.1781385394033403,53.535353535353536,0.3138350659117674,-0.14920472905477863,0.16463033685698877,59.2
111,11,1,14456035742975515268,0.2,0.25,3.557320114622901,52.525252525252526,0.3257890921322645,-0.15115856104189007,0.17463053109037438,64.8
112,11,2,2562757615628570934,0.2,0.25,2.8833765407699947,46.464646464646464,0.3178367322760337,-0.1874545365930175,0.13038219568301618,64.2
113,11,3,16633016407309990851,0.2,0.25,2.8855631801070127,57.57575757575758,0.33986779620589447,-0.19486182020679443,0.14500597599910006,64.8
114,11,4,15557843267793863574,0.2,0.25,3.416080459055729,42.42424242424242,0.28940080042715177,-0.13457929420180553,0.15482150622534627,65.8
115,11,5,13774002591901405648,0.2,0.25,4.3995841499024495,37.37373737373738,0.296524234790635,-0.17400560186582117,0.12251863292481381,67.2
116,11,6,16072834732045810525,0.2,0.25,3.4695091457886984,48.484848484848484,0.33094620926081486,-0.1284314665316104,0.20251474272920447,62.6
117,11,7,7671417155738784627,0.2,0.25,3.120715412666369,44.44444444444444,0.3462547697255879,-0.1513823374582026,0.19487243226738526,64.2
118,11,8,6229778638932050950,0.2,0.25,3.300756091901326,54.54545454545455,0.33394979352624493,-0.2232966507331337,0.11065314279311124,62.6
119,11,9,4071234822802519213,0.2,0.25,3.931140535450142,41.41414141414141,0.30594801821915163,-0.1502694974695359,0.1556785207496157,64.0
120,12,0,14144982686092207667,0.2,0.5,2.8586020322153103,48.484848484848484,0.33969596297346233,-0.22097466716165434,0.118721295811808,65.2
121,12,1,2233429160994791488,0.2,0.5,2.8439693918596585,59.5959595959596,0.31949693356800385,-0.16569990078020655,0.1537970327877973,60.4
122,12,2,17956255561573908039,0.2,0.5,3.1379635667655315,52.525252525252526,0.34040615708270305,-0.17410438625199187,0.1663017708307112,62.6
123,12,3,4375901905356782836,0.2,0.5,3.4704208954247315,48.484848484848484,0.3637372067715155,-0.16106298588998375,0.20267422088153175,64.2
124,12,4,17261420801594107949,0.2,0.5,3.144654082894923,55.55555555555556,0.3193547377596999,-0.1919760769292212,0.1273786608304787,64.8
125,12,5,4324354792618486536,0.2,0.5,2.8202538658252547,46.464646464646464,0.35308547358651077,-0.1482525076113117,0.20483296597519907,63.4
126,12,6,2037671924082947936,0.2,0.5,2.82293682674342,47.474747474747474,0.357159623478996,-0.17253798877647297,0.18462163470252305,59.4
127,12,7,557049966988806392,0.2,0.5,3.4445747400570768,41.41414141414141,0.338388956491332,-0.1448775806795802,0.1935113758117518,61.8
128,12,8,11794456563241971447,0.2,0.5,3.372580553102166,53.535353535353536,0.3282991299779619,-0.1709925361548231,0.1573065938231388,65.2
129,12,9,14133588653046323822,0.2,0.5,3.4501915257797644,46.464646464646464,0.345292735944692,-0.14953221957785065,0.19576051636684133,64.0
130,13,0,10747197668628635506,0.2,0.75,3.091504501699306,52.525252525252526,0.34985011808268685,-0.17023224239523063,0.17961787568745619,66.2
131,13,1,237022284039444601,0.2,0.75,3.019655603443762,48.484848484848484,0.35744752206534436,-0.14918218037739778,0.2082653416879466,63.2
132,13,2,6656398683756426235,0.2,0.75,3.0684583596755375,50.505050505050505,0.3688042752427887,-0.18960716117631493,0.17919711406647376,65.6
133,13,3,8066259672526168957,0.2,0.75,2.7628610837823326,47.474747474747474,0.378130446162241,-0.20335454805235104,0.17477589810989,62.2
134,13,4,16558694422233376504,0.2,0.75,3.0554566705628408,49.494949494949495,0.3933382621332856,-0.18159752458623785,0.21174073754704778,63.4
135,13,5,16581591031739219901,0.2,0.75,3.1490807423964675,53.535353535353536,0.36126041020200617,-0.1695879460446273,0.1916724641573789,64.0
136,13,6,13410167559085442510,0.2,0.75,3.1069290289583704,50.505050505050505,0.3647666042590543,-0.17544464012012356,0.18932196413893068,65.0
137,13,7,17325606712393914814,0.2,0.75,3.2019777033218704,54.54545454545455,0.3659442489171304,-0.18363543001558189,0.18230881890154851,62.8
138,13,8,10325290074085854898,0.2,0.75,3.2957393843269456,50.505050505050505,0.38915658691442395,-0.19375217206917694,0.195404414845247,63.0
