run_id,condition_index,repetition,seed,homophily,social_influence,mean_margin,control_change_rate,party_gap,mean_voter_ideology,switch_rate,ideology_sd,mean_degree
55,5,5,8014182629609012547,0.25,0.0,3.4156378979960946,45.45454545454545,0.40408832035859443,0.004696436544399701,0.3184713375796178,0.44610557544613,6.0
56,5,6,17975047340040693422,0.25,0.0,2.8978954834864847,62.62626262626262,0.38677766753251563,-0.006756422681233725,0.3067484662576687,0.43073318493843227,6.0
57,5,7,2526812524552602065,0.25,0.0,4.329506940353002,34.343434343434346,0.3078293656137763,0.01521964376883961,0.0,0.4394735812915243,6.0
58,5,8,2318361973073805590,0.25,0.0,3.098590762828492,51.515151515151516,0.19061682290863366,0.020130329007737174,0.0,0.4476519402985889,6.0
59,5,9,8668831289319233106,0.25,0.0,2.9981949179588963,64.64646464646465,0.41288763881322715,0.014205610940106776,0.0,0.442535331756645,6.0
60,6,0,14431918928293134222,0.25,0.05,3.379579398900039,49.494949494949495,0.02279661877951241,0.020737969323178507,0.0,0.054242763413708935,6.0
61,6,1,4662019071424517467,0.25,0.05,3.0306815745728546,45.45454545454545,0.02,0.012636672575285227,0.0,0.04773938471516957,6.0
62,6,2,10613998446837456143,0.25,0.05,3.0348514010033245,54.54545454545455,0.024916766901460597,-0.00948921623584752,0.0,0.05150912347997537,6.0
63,6,3,5627091141002313359,0.25,0.05,4.173299358468273,36.36363636363637,0.020000000000000004,0.025043395582674113,0.0,0.051853791854155146,6.0
64,6,4,18254523897983272782,0.25,0.05,2.8407742754120333,47.474747474747474,0.02,0.010335756851761054,0.0,0.04540207092023135,6.0
65,6,5,6580821875096420772,0.25,0.05,3.308746837345124,38.38383838383838,0.020000000000000004,-0.02676117986854246,0.0,0.04724146447605574,6.0
66,6,6,16679689409514091203,0.25,0.05,3.575014921563557,48.484848484848484,0.020000000000000004,-0.032208609496071176,0.0,0.05884409904304469,6.0
67,6,7,5000325823850477628,0.25,0.05,2.978695169652467,46.464646464646464,0.025658196954158986,0.005754896701161094,0.0,0.04598452982730309,6.0
68,6,8,8827375116792364567,0.25,0.05,3.111370392865156,46.464646464646464,0.046745373385430264,0.0019624306470655264,0.0,0.04856628145304521,6.0
69,6,9,4761440514263314321,0.25,0.05,3.3730352766485456,54.54545454545455,0.02,-0.005176233366337895,0.0,0.05340085308037705,6.0
70,7,0,4649479782226294014,0.25,0.1,3.1212475138130515,61.61616161616162,0.02,0.0041486083311860706,0.0,0.04019781142905871,6.0
